speaker,vowel,F1,F2
mas0M0kui0Tang2,a,673.7185457087855,1271.175712481095
mas0M0kui0Tang2,ā,653.6799438280887,1225.571511656828
mas0M0kui0Tang2,o,453.31138678038667,970.1220574309432
mas0M0kui0Tang2,i,359.27539534490586,2300.529432124138
mas0M0kui0Tang2,a,416.05076106291267,1687.8520490275187
mas0M0kui0Tang2,i,350.43334878991465,2369.884616816789
mas0M0kui0Tang2,a,658.0977036356893,1213.3324837647513
mas0M0kui0Tang2,ā,633.7832323927523,1090.1591787257166
mas0M0kui0Tang2,i,325.7260428563303,2282.4825955065626
mas0M0kui0Tang2,a,535.3633478183568,1245.790420016129
mas0M0kui0Tang2,a,430.23813557993475,1909.8671369965027
mas0M0kui0Tang2,a,244.13426072894958,1174.957314828019
mas0M0kui0Tang2,o,579.9038923839231,1266.5798570077245
mas0M0kui0Tang2,a,447.1315196580509,1082.8085366619284
mas0M0kui0Tang2,o,402.7607301557965,1235.089085060916
mas0M0kui0Tang2,a,546.8245519343831,1169.4513676081037
mas0M0kui0Tang2,a,563.0203011426183,1266.9253589068678
mas0M0kui0Tang2,u,340.66311693443885,912.8053374269244
mas0M0kui0Tang2,a,623.8198607734769,1116.9817519033006
mas0M0kui0Tang2,a,655.6022044350523,1180.6181014962417
mas0M0kui0Tang2,ā,713.4671305364569,1258.7586837712076
mas0M0kui0Tang2,a,625.5711990241889,1253.747623252429
mas0M0kui0Tang2,a,370.3954445014847,964.6900843073669
mas0M0kui0Tang2,a,305.1397476716,1198.3108238968807
mas0M0kui0Tang2,a,406.45171067036364,943.5570400352251
mas0M0kui0Tang2,a,524.3631321157128,1178.2656252216827
mas0M0kui0Tang2,a,552.1397007708845,1396.4860319722343
mas0M0kui0Tang2,a,517.5713784296828,1241.5552727478894
mas0M0kui0Tang2,a,571.2230718873866,1256.0793052917545
mas0M0kui0Tang2,i,290.17736132346795,2303.733385360518
mas0M0kui0Tang2,ā,564.3137824228754,1575.3907212705376
mas0M0kui0Tang2,i,283.418161457559,1362.0291194357264
mas0M0kui0Tang2,a,673.5251763687817,1210.6041873815345
mas0M0kui0Tang2,ā,647.7451860648343,1107.957310234917
mas0M0kui0Tang2,i,308.34443687035474,2380.273716696473
mas0M0kui0Tang2,a,276.41258636773495,1889.0781034548718
mas0M0kui0Tang2,o,454.6293189269704,1072.7887597388544
mas0M0kui0Tang2,i,352.46587994774455,2268.6512380755225
mas0M0kui0Tang2,a,397.2483940603405,1775.8079176279298
mas0M0kui0Tang2,i,297.8068432568605,2292.5405890643137
mas0M0kui0Tang2,a,565.9628045573277,1505.5428572450905
mas0M0kui0Tang2,a,509.8280414106989,1147.6201239605725
mas0M0kui0Tang2,a,626.4239674012127,1282.8669472009854
mas0M0kui0Tang2,ā,690.2300518547007,1289.7552923760386
mas0M0kui0Tang2,a,678.7254965405593,1238.1522419573269
mas0M0kui0Tang2,ā,706.4242062212066,1191.2562082360482
mas0M0kui0Tang2,a,565.9983182951721,1292.0325421205255
mas0M0kui0Tang2,a,541.2032688970825,1348.2176566680894
mas0M0kui0Tang2,u,370.2641394726952,1178.460049892728
mas0M0kui0Tang2,a,518.8102052462372,1485.2516286836837
mas0M0kui0Tang2,a,571.4268062057881,1229.669290268231
mas0M0kui0Tang2,a,679.1510840359168,1171.1194527287664
mas0M0kui0Tang2,a,586.7962677979252,1422.5948728280484
mas0M0kui0Tang2,a,640.2909976094021,1186.2573363371864
mas0M0kui0Tang2,i,336.40524253956096,2383.248422318586
mas0M0kui0Tang2,a,516.9176507250583,1682.6320623246668
mas0M0kui0Tang2,i,302.51050098543755,2239.5196391346494
mas0M0kui0Tang2,i,301.3344954743205,2392.2509377732545
mas0M0kui0Tang2,a,680.4401952689167,1258.985632086151
mas0M0kui0Tang2,ā,573.0821832202565,1006.1177397769894
mas0M0kui0Tang2,i,337.6342849591795,2294.261433567381
mas0M0kui0Tang2,u,296.2422710066742,1094.4516057528526
mas0M0kui0Tang2,u,408.67245681682283,1101.389683365585
mas0M0kui0Tang2,a,606.373390697202,1212.3730045061827
mas0M0kui0Tang2,i,323.47647602297957,2043.4660298728886
mas0M0kui0Tang2,ā,626.0943964053776,1234.7587012669042
mas0M0kui0Tang2,ā,640.6167688892501,1186.1263892136355
mas0M0kui0Tang2,ā,557.1791985599192,1588.668028749188
mas0M0kui0Tang2,a,635.8436032591974,1205.7017268063505
